SurveyNo,Patta_Holder,Land_Area_Acres,Revenue_Village
S.No 206/3,Priya,0.057,Avinashi_Road_Zone
S.No 206/4,Murugan,0.018,Avinashi_Road_Zone
S.No 206/5,Ramasamy,0.036,Avinashi_Road_Zone
S.No 207/1,Vignesh,0.062,Avinashi_Road_Zone
S.No 207/2,Suresh,0.109,Avinashi_Road_Zone
S.No 207/3,Priya,0.046,Avinashi_Road_Zone
S.No 207/4,Lakshmi,0.075,Avinashi_Road_Zone
S.No 207/5,Murugan,0.059,Avinashi_Road_Zone
S.No 208/1,Anitha,0.036,Avinashi_Road_Zone
S.No 208/2,Suresh,0.04,Avinashi_Road_Zone
S.No 208/3,Anitha,0.172,Avinashi_Road_Zone
S.No 208/4,Lakshmi,0.052,Avinashi_Road_Zone
S.No 208/5,Murugan,0.086,Avinashi_Road_Zone
S.No 209/1,Suresh,0.012,Avinashi_Road_Zone
S.No 209/2,Suresh,0.034,Avinashi_Road_Zone
S.No 209/3,Karthik,0.046,Avinashi_Road_Zone
S.No 209/4,Priya,0.043,Avinashi_Road_Zone
S.No 209/5,Vignesh,0.027,Avinashi_Road_Zone
S.No 210/1,Lakshmi,0.046,Avinashi_Road_Zone
S.No 210/2,Anitha,0.046,Avinashi_Road_Zone
S.No 210/3,Suresh,0.022,Avinashi_Road_Zone
S.No 210/4,Suresh,0.088,Avinashi_Road_Zone
S.No 210/5,Priya,0.102,Avinashi_Road_Zone
S.No 211/1,Ramasamy,0.084,Avinashi_Road_Zone
S.No 211/2,Suresh,0.034,Avinashi_Road_Zone
S.No 211/3,Murugan,0.05,Avinashi_Road_Zone
S.No 211/4,Vignesh,0.035,Avinashi_Road_Zone
S.No 211/5,Murugan,0.042,Avinashi_Road_Zone
S.No 212/1,Ramasamy,0.266,Avinashi_Road_Zone
S.No 212/2,Murugan,0.219,Avinashi_Road_Zone
S.No 212/3,Priya,0.263,Avinashi_Road_Zone
S.No 212/4,Suresh,0.127,Avinashi_Road_Zone
S.No 212/5,Lakshmi,0.849,Avinashi_Road_Zone
S.No 213/1,Lakshmi,1.276,Avinashi_Road_Zone
S.No 213/2,Lakshmi,2.288,Avinashi_Road_Zone
S.No 213/3,Ramasamy,0.245,Avinashi_Road_Zone
S.No 213/4,Priya,0.098,Avinashi_Road_Zone
S.No 213/5,Anitha,0.06,Avinashi_Road_Zone
S.No 214/1,Ramasamy,0.158,Avinashi_Road_Zone
S.No 214/2,Murugan,0.392,Avinashi_Road_Zone
S.No 214/3,Murugan,0.537,Avinashi_Road_Zone
S.No 214/4,Anitha,0.029,Avinashi_Road_Zone
S.No 214/5,Priya,0.031,Avinashi_Road_Zone
S.No 215/1,Vignesh,0.027,Avinashi_Road_Zone
S.No 215/2,Ramasamy,0.029,Avinashi_Road_Zone
S.No 215/3,Priya,0.029,Avinashi_Road_Zone
S.No 215/4,Lakshmi,0.03,Avinashi_Road_Zone
S.No 215/5,Priya,0.028,Avinashi_Road_Zone
S.No 216/1,Lakshmi,0.029,Avinashi_Road_Zone
S.No 216/2,Anitha,0.027,Avinashi_Road_Zone
S.No 216/3,Lakshmi,0.028,Avinashi_Road_Zone
S.No 216/4,Priya,0.029,Avinashi_Road_Zone
S.No 216/5,Priya,0.031,Avinashi_Road_Zone
S.No 217/1,Karthik,0.026,Avinashi_Road_Zone
S.No 217/2,Murugan,0.029,Avinashi_Road_Zone
S.No 217/3,Anitha,0.029,Avinashi_Road_Zone
S.No 217/4,Suresh,0.028,Avinashi_Road_Zone
S.No 217/5,Anitha,0.029,Avinashi_Road_Zone
S.No 218/1,Murugan,0.029,Avinashi_Road_Zone
S.No 218/2,Anitha,0.028,Avinashi_Road_Zone
S.No 218/3,Lakshmi,0.029,Avinashi_Road_Zone
S.No 218/4,Ramasamy,0.029,Avinashi_Road_Zone
S.No 218/5,Ramasamy,0.029,Avinashi_Road_Zone
S.No 219/1,Priya,0.028,Avinashi_Road_Zone
S.No 219/2,Suresh,0.029,Avinashi_Road_Zone
S.No 219/3,Vignesh,0.03,Avinashi_Road_Zone
S.No 219/4,Vignesh,0.031,Avinashi_Road_Zone
S.No 219/5,Murugan,0.03,Avinashi_Road_Zone
S.No 220/1,Suresh,0.029,Avinashi_Road_Zone
S.No 220/2,Vignesh,0.029,Avinashi_Road_Zone
S.No 220/3,Karthik,0.027,Avinashi_Road_Zone
S.No 220/4,Suresh,0.029,Avinashi_Road_Zone
S.No 220/5,Vignesh,0.03,Avinashi_Road_Zone
S.No 221/1,Vignesh,0.029,Avinashi_Road_Zone
S.No 221/2,Ramasamy,0.029,Avinashi_Road_Zone
S.No 221/3,Lakshmi,0.028,Avinashi_Road_Zone
S.No 221/4,Ramasamy,0.028,Avinashi_Road_Zone
S.No 221/5,Vignesh,0.028,Avinashi_Road_Zone
S.No 222/1,Karthik,0.029,Avinashi_Road_Zone
S.No 222/2,Lakshmi,0.029,Avinashi_Road_Zone
S.No 222/3,Suresh,0.028,Avinashi_Road_Zone
S.No 222/4,Lakshmi,0.031,Avinashi_Road_Zone
S.No 222/5,Vignesh,0.029,Avinashi_Road_Zone
S.No 223/1,Murugan,0.028,Avinashi_Road_Zone
S.No 223/2,Ramasamy,0.029,Avinashi_Road_Zone
S.No 223/3,Ramasamy,0.029,Avinashi_Road_Zone
S.No 223/4,Ramasamy,0.029,Avinashi_Road_Zone
S.No 223/5,Priya,0.031,Avinashi_Road_Zone
S.No 224/1,Priya,0.031,Avinashi_Road_Zone
S.No 224/2,Priya,0.029,Avinashi_Road_Zone
S.No 224/3,Murugan,0.031,Avinashi_Road_Zone
S.No 224/4,Lakshmi,0.041,Avinashi_Road_Zone
S.No 224/5,Vignesh,0.029,Avinashi_Road_Zone
S.No 225/1,Suresh,0.027,Avinashi_Road_Zone
S.No 225/2,Vignesh,0.03,Avinashi_Road_Zone
S.No 225/3,Vignesh,0.03,Avinashi_Road_Zone
S.No 225/4,Karthik,0.028,Avinashi_Road_Zone
S.No 225/5,Suresh,0.028,Avinashi_Road_Zone
S.No 226/1,Vignesh,0.029,Avinashi_Road_Zone
S.No 226/2,Ramasamy,0.027,Avinashi_Road_Zone
S.No 226/3,Vignesh,0.027,Avinashi_Road_Zone
S.No 226/4,Lakshmi,0.263,Avinashi_Road_Zone
S.No 226/5,Lakshmi,0.052,Avinashi_Road_Zone
S.No 227/1,Lakshmi,0.02,Avinashi_Road_Zone
S.No 227/2,Priya,0.06,Avinashi_Road_Zone
S.No 227/3,Murugan,0.02,Avinashi_Road_Zone
S.No 227/4,Murugan,0.018,Avinashi_Road_Zone
S.No 227/5,Ramasamy,0.02,Avinashi_Road_Zone
S.No 228/1,Karthik,0.036,Avinashi_Road_Zone
S.No 228/2,Priya,0.034,Avinashi_Road_Zone
S.No 228/3,Vignesh,0.041,Avinashi_Road_Zone
S.No 228/4,Karthik,0.029,Avinashi_Road_Zone
S.No 228/5,Suresh,0.041,Avinashi_Road_Zone
S.No 229/1,Lakshmi,0.08,Avinashi_Road_Zone
S.No 229/2,Karthik,0.051,Avinashi_Road_Zone
S.No 229/3,Vignesh,0.055,Avinashi_Road_Zone
S.No 229/4,Karthik,0.027,Avinashi_Road_Zone
S.No 229/5,Ramasamy,0.011,Avinashi_Road_Zone
S.No 230/1,Murugan,0.009,Avinashi_Road_Zone
S.No 230/2,Suresh,0.126,Avinashi_Road_Zone
S.No 230/3,Vignesh,0.063,Avinashi_Road_Zone
S.No 230/4,Vignesh,0.044,Avinashi_Road_Zone
S.No 230/5,Karthik,0.052,Avinashi_Road_Zone
S.No 231/1,Murugan,0.085,Avinashi_Road_Zone
S.No 231/2,Murugan,0.124,Avinashi_Road_Zone
S.No 231/3,Priya,0.035,Avinashi_Road_Zone
S.No 231/4,Murugan,0.09,Avinashi_Road_Zone
S.No 231/5,Priya,0.092,Avinashi_Road_Zone
S.No 232/1,Lakshmi,0.148,Avinashi_Road_Zone
S.No 232/2,Lakshmi,0.064,Avinashi_Road_Zone
S.No 232/3,Karthik,0.212,Avinashi_Road_Zone
S.No 232/4,Suresh,0.088,Avinashi_Road_Zone
S.No 232/5,Karthik,0.088,Avinashi_Road_Zone
S.No 233/1,Suresh,0.022,Avinashi_Road_Zone
S.No 233/2,Vignesh,0.015,Avinashi_Road_Zone
S.No 233/3,Ramasamy,0.051,Avinashi_Road_Zone
S.No 233/4,Anitha,0.007,Avinashi_Road_Zone
S.No 233/5,Lakshmi,0.019,Avinashi_Road_Zone
S.No 234/1,Vignesh,0.019,Avinashi_Road_Zone
S.No 234/2,Suresh,0.404,Avinashi_Road_Zone
S.No 234/3,Karthik,0.076,Avinashi_Road_Zone
S.No 234/4,Karthik,0.139,Avinashi_Road_Zone
S.No 234/5,Murugan,0.281,Avinashi_Road_Zone
S.No 235/1,Karthik,0.214,Avinashi_Road_Zone
S.No 235/2,Karthik,0.061,Avinashi_Road_Zone
S.No 235/3,Murugan,0.136,Avinashi_Road_Zone
S.No 235/4,Priya,0.047,Avinashi_Road_Zone
S.No 235/5,Suresh,0.127,Avinashi_Road_Zone
S.No 236/1,Lakshmi,0.377,Avinashi_Road_Zone
S.No 236/2,Murugan,0.228,Avinashi_Road_Zone
S.No 236/3,Lakshmi,0.067,Avinashi_Road_Zone
S.No 236/4,Vignesh,0.076,Avinashi_Road_Zone
S.No 236/5,Vignesh,0.331,Avinashi_Road_Zone
S.No 237/1,Anitha,0.204,Avinashi_Road_Zone
S.No 237/2,Vignesh,0.204,Avinashi_Road_Zone
S.No 237/3,Priya,0.121,Avinashi_Road_Zone
S.No 237/4,Murugan,0.569,Avinashi_Road_Zone
S.No 237/5,Karthik,0.331,Avinashi_Road_Zone
S.No 238/1,Anitha,0.384,Avinashi_Road_Zone
S.No 238/2,Murugan,0.334,Avinashi_Road_Zone
S.No 238/3,Suresh,0.139,Avinashi_Road_Zone
S.No 238/4,Murugan,0.341,Avinashi_Road_Zone
S.No 238/5,Anitha,0.354,Avinashi_Road_Zone
S.No 239/1,Karthik,0.422,Avinashi_Road_Zone
S.No 239/2,Ramasamy,0.069,Avinashi_Road_Zone
S.No 239/3,Anitha,0.044,Avinashi_Road_Zone
S.No 239/4,Ramasamy,0.019,Avinashi_Road_Zone
S.No 239/5,Vignesh,0.071,Avinashi_Road_Zone
